STATISTICS
Misses:
Total: 83040 DataReads: 382 DataWrites: 82658
Miss rate:
Total: 0.8304 DataReads: 0.03393 DataWrites: 0.9314
Number of Dirty Blocks Evicted from the Cache: 78944

CACHE CONTENTS
Set   V  Tag       D  Words
0     1  00000014  1  ffffffff
1     0  00000000  0  00000000
2     0  00000000  0  00000000
3     0  00000000  0  00000000
4     1  00000014  1  ffffffff
5     0  00000000  0  00000000
6     0  00000000  0  00000000
7     0  00000000  0  00000000
8     1  00000014  1  ffffffff
9     0  00000000  0  00000000
a     0  00000000  0  00000000
b     0  00000000  0  00000000
c     1  00000014  1  ffffffff
d     0  00000000  0  00000000
e     0  00000000  0  00000000
f     0  00000000  0  00000000
10    1  00000014  1  ffffffff
11    0  00000000  0  00000000
12    0  00000000  0  00000000
13    0  00000000  0  00000000
14    1  00000014  1  ffffffff
15    0  00000000  0  00000000
16    0  00000000  0  00000000
17    0  00000000  0  00000000
18    1  00000014  1  ffffffff
19    0  00000000  0  00000000
1a    0  00000000  0  00000000
1b    0  00000000  0  00000000
1c    1  00000014  1  ffffffff
1d    0  00000000  0  00000000
1e    0  00000000  0  00000000
1f    0  00000000  0  00000000
20    1  00000014  1  ffffffff
21    0  00000000  0  00000000
22    0  00000000  0  00000000
23    0  00000000  0  00000000
24    1  00000014  1  ffffffff
25    0  00000000  0  00000000
26    0  00000000  0  00000000
27    0  00000000  0  00000000
28    1  00000014  1  ffffffff
29    0  00000000  0  00000000
2a    0  00000000  0  00000000
2b    0  00000000  0  00000000
2c    1  00000014  1  ffffffff
2d    0  00000000  0  00000000
2e    0  00000000  0  00000000
2f    0  00000000  0  00000000
30    1  00000014  1  ffffffff
31    0  00000000  0  00000000
32    0  00000000  0  00000000
33    0  00000000  0  00000000
34    1  00000014  1  ffffffff
35    0  00000000  0  00000000
36    0  00000000  0  00000000
37    0  00000000  0  00000000
38    1  00000014  1  ffffffff
39    0  00000000  0  00000000
3a    0  00000000  0  00000000
3b    0  00000000  0  00000000
3c    1  00000014  1  ffffffff
3d    0  00000000  0  00000000
3e    0  00000000  0  00000000
3f    0  00000000  0  00000000
40    1  00000014  1  ffffffff
41    0  00000000  0  00000000
42    0  00000000  0  00000000
43    0  00000000  0  00000000
44    1  00000014  1  ffffffff
45    0  00000000  0  00000000
46    0  00000000  0  00000000
47    0  00000000  0  00000000
48    1  00000014  1  ffffffff
49    0  00000000  0  00000000
4a    0  00000000  0  00000000
4b    0  00000000  0  00000000
4c    1  00000014  1  ffffffff
4d    0  00000000  0  00000000
4e    0  00000000  0  00000000
4f    0  00000000  0  00000000
50    1  00000014  1  ffffffff
51    0  00000000  0  00000000
52    0  00000000  0  00000000
53    0  00000000  0  00000000
54    1  00000014  1  ffffffff
55    0  00000000  0  00000000
56    0  00000000  0  00000000
57    0  00000000  0  00000000
58    1  00000014  1  ffffffff
59    0  00000000  0  00000000
5a    0  00000000  0  00000000
5b    0  00000000  0  00000000
5c    1  00000014  1  ffffffff
5d    0  00000000  0  00000000
5e    0  00000000  0  00000000
5f    0  00000000  0  00000000
60    1  00000014  1  ffffffff
61    0  00000000  0  00000000
62    0  00000000  0  00000000
63    0  00000000  0  00000000
64    1  00000014  1  ffffffff
65    0  00000000  0  00000000
66    0  00000000  0  00000000
67    0  00000000  0  00000000
68    1  00000014  1  ffffffff
69    0  00000000  0  00000000
6a    0  00000000  0  00000000
6b    0  00000000  0  00000000
6c    1  00000014  1  ffffffff
6d    0  00000000  0  00000000
6e    0  00000000  0  00000000
6f    0  00000000  0  00000000
70    1  00000014  1  ffffffff
71    0  00000000  0  00000000
72    0  00000000  0  00000000
73    0  00000000  0  00000000
74    1  00000014  1  ffffffff
75    0  00000000  0  00000000
76    0  00000000  0  00000000
77    0  00000000  0  00000000
78    1  00000014  1  ffffffff
79    0  00000000  0  00000000
7a    0  00000000  0  00000000
7b    0  00000000  0  00000000
7c    1  00000014  1  ffffffff
7d    0  00000000  0  00000000
7e    0  00000000  0  00000000
7f    0  00000000  0  00000000
80    1  00000014  1  ffffffff
81    0  00000000  0  00000000
82    0  00000000  0  00000000
83    0  00000000  0  00000000
84    1  00000014  1  ffffffff
85    0  00000000  0  00000000
86    0  00000000  0  00000000
87    0  00000000  0  00000000
88    1  00000014  1  ffffffff
89    0  00000000  0  00000000
8a    0  00000000  0  00000000
8b    0  00000000  0  00000000
8c    1  00000014  1  ffffffff
8d    0  00000000  0  00000000
8e    0  00000000  0  00000000
8f    0  00000000  0  00000000
90    1  00000014  1  ffffffff
91    0  00000000  0  00000000
92    0  00000000  0  00000000
93    0  00000000  0  00000000
94    1  00000014  1  ffffffff
95    0  00000000  0  00000000
96    0  00000000  0  00000000
97    0  00000000  0  00000000
98    1  00000014  1  ffffffff
99    0  00000000  0  00000000
9a    0  00000000  0  00000000
9b    0  00000000  0  00000000
9c    1  00000014  1  ffffffff
9d    0  00000000  0  00000000
9e    0  00000000  0  00000000
9f    0  00000000  0  00000000
a0    1  00000014  1  ffffffff
a1    0  00000000  0  00000000
a2    0  00000000  0  00000000
a3    0  00000000  0  00000000
a4    1  00000014  1  ffffffff
a5    0  00000000  0  00000000
a6    0  00000000  0  00000000
a7    0  00000000  0  00000000
a8    1  00000014  1  ffffffff
a9    0  00000000  0  00000000
aa    0  00000000  0  00000000
ab    0  00000000  0  00000000
ac    1  00000014  1  ffffffff
ad    0  00000000  0  00000000
ae    0  00000000  0  00000000
af    0  00000000  0  00000000
b0    1  00000014  1  ffffffff
b1    0  00000000  0  00000000
b2    0  00000000  0  00000000
b3    0  00000000  0  00000000
b4    1  00000014  1  ffffffff
b5    0  00000000  0  00000000
b6    0  00000000  0  00000000
b7    0  00000000  0  00000000
b8    1  00000014  1  ffffffff
b9    0  00000000  0  00000000
ba    0  00000000  0  00000000
bb    0  00000000  0  00000000
bc    1  00000014  1  ffffffff
bd    0  00000000  0  00000000
be    0  00000000  0  00000000
bf    0  00000000  0  00000000
c0    1  00000014  1  ffffffff
c1    0  00000000  0  00000000
c2    0  00000000  0  00000000
c3    0  00000000  0  00000000
c4    1  00000014  1  ffffffff
c5    0  00000000  0  00000000
c6    0  00000000  0  00000000
c7    0  00000000  0  00000000
c8    1  00000014  1  ffffffff
c9    0  00000000  0  00000000
ca    0  00000000  0  00000000
cb    0  00000000  0  00000000
cc    1  00000014  1  ffffffff
cd    0  00000000  0  00000000
ce    0  00000000  0  00000000
cf    0  00000000  0  00000000
d0    1  00000014  1  ffffffff
d1    0  00000000  0  00000000
d2    0  00000000  0  00000000
d3    0  00000000  0  00000000
d4    1  00000014  1  ffffffff
d5    0  00000000  0  00000000
d6    0  00000000  0  00000000
d7    0  00000000  0  00000000
d8    1  00000014  1  ffffffff
d9    0  00000000  0  00000000
da    0  00000000  0  00000000
db    0  00000000  0  00000000
dc    1  00000014  1  ffffffff
dd    0  00000000  0  00000000
de    0  00000000  0  00000000
df    0  00000000  0  00000000
e0    1  00000014  1  ffffffff
e1    0  00000000  0  00000000
e2    0  00000000  0  00000000
e3    0  00000000  0  00000000
e4    1  00000014  1  ffffffff
e5    0  00000000  0  00000000
e6    0  00000000  0  00000000
e7    0  00000000  0  00000000
e8    1  00000014  1  ffffffff
e9    0  00000000  0  00000000
ea    0  00000000  0  00000000
eb    0  00000000  0  00000000
ec    1  00000014  1  ffffffff
ed    0  00000000  0  00000000
ee    0  00000000  0  00000000
ef    0  00000000  0  00000000
f0    1  00000014  1  ffffffff
f1    0  00000000  0  00000000
f2    0  00000000  0  00000000
f3    0  00000000  0  00000000
f4    1  00000014  1  ffffffff
f5    0  00000000  0  00000000
f6    0  00000000  0  00000000
f7    0  00000000  0  00000000
f8    1  00000014  1  ffffffff
f9    0  00000000  0  00000000
fa    0  00000000  0  00000000
fb    0  00000000  0  00000000
fc    1  00000014  1  ffffffff
fd    0  00000000  0  00000000
fe    0  00000000  0  00000000
ff    0  00000000  0  00000000
100   1  00000014  1  ffffffff
101   0  00000000  0  00000000
102   0  00000000  0  00000000
103   0  00000000  0  00000000
104   1  00000014  1  ffffffff
105   0  00000000  0  00000000
106   0  00000000  0  00000000
107   0  00000000  0  00000000
108   1  00000014  1  ffffffff
109   0  00000000  0  00000000
10a   0  00000000  0  00000000
10b   0  00000000  0  00000000
10c   1  00000014  1  ffffffff
10d   0  00000000  0  00000000
10e   0  00000000  0  00000000
10f   0  00000000  0  00000000
110   1  00000014  1  ffffffff
