STATISTICS: 
Misses:
Total: 8 DataReads: 2 DataWrites: 6
Miss rate:
Total: 0.470588 DataReads: 0.5 DataWrites: 0.461538
Number of Dirty Blocks Evicted From the Cache: 4

CACHE CONTENTS
Set   V    Tag    Dirty    Word0      Word1      Word2      Word3      Word4      Word5      Word6      Word7   
0     1   00000ffa    0    003fe800   003fe804   003fe808   003fe80c   003fe810   003fe814   003fe818   003fe81c   
0     1   00000fe0    0    003f8000   66666666   003f8008   55555555   11111111   22222222   33333333   44444444   
0     1   00000ff6    1    dddddddd   003fd804   003fd808   003fd80c   003fd810   003fd814   003fd818   003fd81c   
0     1   00000fe8    1    cccccccc   003fa004   003fa008   003fa00c   99999999   003fa014   003fa018   003fa01c   
1     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
2     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
2     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
2     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
2     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
3     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
3     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
3     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
3     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
4     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
4     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
4     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
4     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
5     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
5     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
5     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
5     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
6     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
6     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
6     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
6     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
7     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
7     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
7     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
7     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
8     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
8     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
8     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
8     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
9     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
9     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
9     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
9     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
a     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
a     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
a     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
a     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
b     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
b     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
b     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
b     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
c     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
c     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
c     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
c     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
d     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
